#NWS FLOOD STAGES with USGS ID'S
#Tediously Assembled By: Warren Pettee (Github: WEP11, Twitter: @wpettee)
#Probably by no means complete?

NWS ID, USGS ID, Action, Minor, Moderate, Major, Stage Units, Site Name, State
UKAC1, 11461000,nan,nan,nan,nan,ft,Ukiah,CA
TTVC1, 10336780,8,9,9.5,10,ft,Tahoe Valley,CA
TRZN2, 10312275,8.5,8.8,9.2,9.5,ft,Fallon,NV
TRTC1, 10337500,7.5,8.5,9,9.5,ft,Tahoe City,CA
TRRN2, 10348000,9,11,12,13,ft,Reno,NV
TRNC1, 11526400,nan,nan,nan,nan,ft,Helena 1SSE,CA
TRJC1, 11526250,nan,nan,nan,nan,ft,Junction City,CA
TRCC1, 10338000,3.7,4.5,5.5,6.5,ft,Truckee,CA
TOPN2, 10297000,nan,nan,nan,nan,ft,Topaz Lake,NV
TNTN2, 10350340,nan,nan,nan,nan,ft,Tracy,NV
TIDO3, 14306500,16,18,21,23,ft,Tidewater,OR
THLC1, 10337000,6228.7,6229.1,nan,nan,ft,Lake Tahoe at Tahoe City,CA
THAC1, 11526500,nan,nan,nan,nan,ft,Helena,CA
TESC1, 11157500,8.5,11.6,14,18,ft,Tres Pinos,CA
TBDN2, 10351600,8.5,10,11,13,ft,Derby Dam,NV
TARC1, 11466320,62.5,70,74,77,ft,Willowside Road NR Santa Rosa,CA
SXGC1, 11162570,15,17.7,21,25,ft,San Gregorio,CA
SWPN2, 10312210,nan,nan,nan,nan,ft,Stillwater Point Reservoir,NV
SWCN2, 10293048,9.5,10.5,11.5,12.5,ft,Sonoma,NV
SUSC1, 10356500,10.5,12,13,14,ft,Susanville,CA
STVC1, 11272500,67,71,73.8,75,ft,Stevinson,CA
STPC1, 10344300,nan,nan,nan,nan,ft,Stampede Reservoir,CA
SSAC1, 11466200,40,41,45,50,ft,Santa Rosa,CA
SPRC1, 11152500,20,23,26,28,ft,Spreckels,CA
SOQC1, 11160000,13,16,18,22,ft,Soquel,CA
SOLC1, 11152000,12,nan,14,nan,ft,Soledad,CA
SOGC1, 11169500,nan,nan,nan,nan,ft,Saratoga,CA
SLUC1, 11132500,nan,nan,nan,nan,ft,Lompoc,CA
SLOC1, 11042000,nan,21,24.5,28,ft,Oceanside,CA
SLCC1, 11181040,nan,nan,nan,nan,ft,San Lorenzo,CA
SHEC1, 11456000,nan,16,18,19,ft,St. Helena,CA
